Лениногорск,24.65,31.0929030593208,61974,2019,2514.16,1.93,7.2,0.8
Туапсе,33.41,26.1440064682197,61938,2019,1853.88,1.64,10.9,1.5
Зеленогорск,162,162.125332954929,61915,2019,382.19,1.48,18.2,3
Котлас,68.039,68.3636468824036,61902,2017,773.4,1.54,12.6,1.5
Борисоглебск,55.26,53.9620777267876,61765,2018,1117.72,1.61,8.9,1.1
Сибай,157.4,84.9644675567806,61344,2019,389.73,1.54,12.1,1.9
Полевской,57,33.4669691575379,61332,2019,1076,1.85,9.7,1.3
Урус-Мартан,27.51,26.4172561307435,61221,2019,2225.41,1.21,20.5,3.3
Кумертау,170,27.667643910201,59762,2019,351.54117647058825,1.54,12.1,1.9
Лесосибирск,277,109.421159164051,59525,2018,214.89,1.48,18.2,3
Избербаш,,26.4365388659084,59494,2019,,1.48,15.2,2.3
Ржев,56.17,53.6526144934892,59422,2018,1057.9,1.47,12,1.1
Белебей,34.26,37.7286739838603,59137,2019,1726.12,1.54,12.1,1.9
Александров,,26.1282758698994,59036,2018,2270.62,1.29,12.8,1.3
Берёзовский,38,29.1190379068046,58771,2019,1546.6052631578948,1.85,9.7,1.3
Шали,27.02,,54168,2019,2004.74,1.21,20.5,3.3
Павлово,43.12,40.2138969341273,58163,2017,1491.36,1.61,9.5,1.2
Воркута,29.73,83.0921735748713,58133,2017,1955.36,1.56,16.5,2.5
Тихвин,25.4,31.8355379294025,58068,2019,2286.14,1.55,9.4,0.9
Щёкино,15,14.5963251626808,57979,2018,3865.266666666667,1.54,9.7,0.9
Алексин,37.95,46.701929076056,57892,2018,1525.48,1.54,9.7,0.9
Прохладный,35.08,34.5568663038325,57883,2019,1650.03,1.17,24.2,4.2
Михайловка,61,57.333969375076,57829,2019,948.016393442623,1.35,13.9,1.5
Крымск,47.04,29.9164065639914,57822,2019,1229.21,1.64,10.9,1.5
Тихорецк,46.02,34.6173234808293,57771,2019,1255.35,1.64,10.9,1.5
Мелеуз,32,,57248,2019,1789,1.54,12.1,1.9
Искитим,29.9,61.6234090703684,57032,2017,1907.42,1.55,16,2
Нерюнгри,98.9,,57009,2018,576.4307381193124,1.68,19.1,3.6
Краснотурьинск,309.5,57.6517173081006,56584,2019,78.71,1.85,9.7,1.3
Дзержинский,15.66,15.6921213656357,56257,2019,3592.4,2.02,7.7,0.8
Апатиты,37.5,,55201,2019,1472.03,1.83,12.3,1.2
Гусь-Хрустальный,43,34.5601132156425,54533,2018,1268.21,1.29,12.8,1.3
Сертолово,27.49,28.2367578507743,54497,2019,1982.429974536195,1.55,9.4,0.9
Жигулёвск,60.8,68.3005990942433,54343,2017,893.8,1.56,13.1,1.7
Гудермес,33.89,34.0051713507677,53957,2019,1592.12,1.21,20.5,3.3
Лиски,65,53.4465472492276,53897,2018,829.18,1.61,8.9,1.1
Свободный,225,63.7235877359616,53678,2018,238.57,1.5,15.1,2.5
Волжск,39.47,34.4059139329593,53581,2019,1357.51,1.16,21.5,3.5
Выкса,,33.3056537854,53406,2017,,1.61,9.5,1.2
Краснокамск,95.8,19.8750732709786,53245,2019,555.79,1.5,14.9,2.4
Радужный,113.2,112.722503414041,18471,2018,163.17137809187278,1.29,12.8,1.3
Краснокаменск,73,26.3593853480096,52811,2017,723.4383561643835,1.32,21,3.4
Вязьма,44,48.8325947622065,52506,2018,1193.32,1.35,16.3,2.5
Арсеньев,,46.3731867848932,52251,2019,575.83,1.51,13.9,2
Белореченск,38.48,30.0689001531485,51935,2019,1349.66,1.64,10.9,1.5
Солнечногорск,21,19.2249130144548,51612,2019,2457.71,2.02,7.7,0.8
Тимашёвск,30,,51443,2019,1714.77,1.64,10.9,1.5
Узловая,22.6,24.9139613963216,51358,2018,2272.48,1.54,9.7,0.9
Снежинск,357,,50759,2017,142.18207282913164,1.48,13.3,1.4
Кириши,63.34,30.2665260759042,50750,2019,801.23,1.55,9.4,0.9
Черемхово,114.4,108.936624730149,50586,2019,443.74,1.36,18.1,2.3
Рославль,43,46.6083118372151,50112,2018,1165.4,1.35,16.3,2.5
Рассказово,36.12,36.7155677185539,43330,2018,1199.61,1.61,10.2,1.1
Красный Сулин,93.6,92.3956096238239,38567,2017,412.04,1.48,13.3,2
Салехард,84.5,22.4809033127145,50064,2019,592.47,3.05,6.2,0.8
Назарово,47,86.4256304749561,49825,2019,1060.11,1.48,18.2,3
Можга,31,23.6319237513196,49617,2017,1600.5483870967741,1.43,12,1.3
Кизляр,32.31,25.8532484157517,49247,2019,1524.2,1.48,15.2,2.3
Боровичи,,47.3024977324764,49071,2019,1080.62,1.49,13.8,1.4
Лесной,360,72.3628118725136,49054,2019,136.26111111111112,1.85,9.7,1.3
Балахна,48,71.0460772702108,48710,2019,1014.7916666666666,1.61,9.5,1.2
Бугуруслан,76,38.0638901975835,48669,2019,640.38,1.43,13.8,1.9
Шелехов,31,32.235962772105,48460,2019,1563.23,1.36,18.1,2.3
Курганинск,43.97,33.0321275545339,48439,2019,1101.64,1.64,10.9,1.5
Донецк,112,111.841059084895,48428,2017,432.39,1.48,13.3,2
Кашира,26.35,37.4644026223089,48016,2019,1822.2390891840607,2.02,7.7,0.8
Отрадный,,54.2474204714581,47542,2017,4754.2,1.56,13.1,1.7
Саяногорск,19,22.0030185745691,47358,2018,2492.53,1.18,18.3,2.4
Мегион,50.51,43.4123914408291,47332,2019,937.08,2.14,10.7,1.4
Ливны,32.1,24.6173066663411,47221,2018,1471.06,1.49,13.7,1.6
Котельники,14.24,14.3073429816917,46763,2019,3283.9185393258426,2.02,7.7,0.8
Грязи,33,41.0901010147461,46492,2018,1408.85,1.76,8.7,1
Киржач,30.03,40.891554942923,26676,2018,889.2,1.29,12.8,1.3
Новозыбков,31.5,38.9632572977032,39725,2019,1261.11,1.44,13.2,1.8
Елизово,70,77.8124310527484,39216,2018,560.2285714285714,1.59,16.5,2
